device_id,status_datetime,received_at,pt_cur,pt_b,p_con,pe_cur,operation_status,operation,remain_time_minutes,remain_time_seconds,status_code,data_cycle,network_cycle
SPC0001,20260519010002,2026-05-19T01:00:02.448Z,1.73,1.73,1.8,1.68,1,1,0,0,0,1,1
SPC0002,20260519010003,2026-05-19T01:00:03.238Z,1.59,1.61,1.8,1.54,1,1,0,0,0,1,1
SPC0001,20260519010005,2026-05-19T01:00:05.449Z,1.73,1.73,1.8,1.68,1,1,0,0,0,1,1
SPC0002,20260519010006,2026-05-19T01:00:06.245Z,1.59,1.61,1.8,1.54,1,1,0,0,0,1,1
SPC0001,20260519010008,2026-05-19T01:00:08.456Z,1.72,1.73,1.8,1.67,1,1,0,0,0,1,1
SPC0002,20260519010009,2026-05-19T01:00:09.252Z,1.57,1.59,1.8,1.52,1,3,3,20,0,1,1
SPC0001,20260519010011,2026-05-19T01:00:11.458Z,1.7,1.73,1.8,1.65,1,1,0,0,0,1,1
SPC0002,20260519010012,2026-05-19T01:00:12.256Z,1.55,1.59,1.8,1.5,1,3,4,44,0,1,1
SPC0001,20260519010014,2026-05-19T01:00:14.464Z,1.71,1.7,1.8,1.66,1,1,0,0,0,1,1
SPC0002,20260519010015,2026-05-19T01:00:15.263Z,1.54,1.55,1.8,1.49,1,3,0,18,0,1,1
SPC0001,20260519010017,2026-05-19T01:00:17.465Z,1.72,1.7,1.8,1.67,1,1,0,0,0,1,1
SPC0002,20260519010018,2026-05-19T01:00:18.265Z,1.53,1.55,1.8,1.48,1,3,3,33,0,1,1
SPC0001,20260519010020,2026-05-19T01:00:20.473Z,1.7,1.72,1.8,1.65,1,1,0,0,0,1,1
SPC0002,20260519010021,2026-05-19T01:00:21.267Z,1.54,1.53,1.8,1.49,1,3,1,17,0,1,1
SPC0001,20260519010023,2026-05-19T01:00:23.483Z,1.7,1.72,1.8,1.65,1,1,0,0,0,1,1
SPC0002,20260519010024,2026-05-19T01:00:24.273Z,1.53,1.53,1.8,1.48,1,3,1,33,0,1,1
SPC0001,20260519010026,2026-05-19T01:00:26.482Z,1.72,1.7,1.8,1.67,1,1,0,0,0,1,1
SPC0002,20260519010027,2026-05-19T01:00:27.278Z,1.55,1.53,1.8,1.5,1,3,2,25,0,1,1
SPC0001,20260519010029,2026-05-19T01:00:29.494Z,1.7,1.7,1.8,1.65,1,3,2,53,0,1,1
SPC0002,20260519010030,2026-05-19T01:00:30.290Z,1.55,1.53,1.8,1.5,1,3,2,48,0,1,1
SPC0001,20260519010032,2026-05-19T01:00:32.501Z,1.69,1.7,1.8,1.64,1,3,0,27,0,1,1
SPC0002,20260519010033,2026-05-19T01:00:33.297Z,1.54,1.55,1.8,1.49,1,3,2,13,0,1,1
SPC0001,20260519010035,2026-05-19T01:00:35.511Z,1.67,1.7,1.8,1.62,1,3,4,19,0,1,1
SPC0002,20260519010036,2026-05-19T01:00:36.307Z,1.54,1.55,1.8,1.49,1,3,4,0,0,1,1
